#,stock_tick,stock_marketName,stock_isInfoAvailable
352,006400,KOSPI,1
353,006405,KOSPI,1
354,006490,KOSPI,1
355,006570,KOSPI,1
356,006580,KOSDAQ,1
357,006620,KOSDAQ,1
358,006650,KOSPI,1
359,006660,KOSPI,1
360,006730,KOSDAQ,1
361,006740,KOSPI,1
362,006800,KOSPI,1
363,006805,KOSPI,1
364,00680K,KOSPI,1
365,006840,KOSPI,1
366,006880,KOSPI,1
367,006890,KOSPI,1
368,006910,KOSDAQ,1
369,006920,KOSDAQ,1
370,006980,KOSPI,1
371,007070,KOSPI,1
372,007110,KOSPI,1
373,007120,KOSPI,1
374,007160,KOSPI,1
375,007210,KOSPI,1
376,007280,KOSPI,1
377,007310,KOSPI,1
378,007330,KOSDAQ,1
379,007340,KOSPI,1
380,007370,KOSDAQ,1
381,007390,KOSDAQ,1
382,007460,KOSPI,1
383,007530,KOSDAQ,1
384,007540,KOSPI,1
385,007570,KOSPI,1
386,007575,KOSPI,1
387,007590,KOSPI,1
388,007610,KOSPI,1
389,007630,KOSPI,1
390,007660,KOSPI,1
391,007680,KOSDAQ,1
392,007690,KOSPI,1
393,007700,KOSPI,1
394,007720,KOSDAQ,1
395,007770,KOSDAQ,1
396,007810,KOSPI,1
397,007815,KOSPI,1
398,00781K,KOSPI,1
399,007820,KOSDAQ,1
400,007860,KOSPI,1
401,007980,KOSPI,1
402,008040,KOSPI,1
403,008060,KOSPI,1
404,00806K,KOSPI,1
405,008110,KOSPI,1
406,008250,KOSPI,1
407,008260,KOSPI,1
408,008290,KOSDAQ,1
409,008350,KOSPI,1
410,008355,KOSPI,1
411,008370,KOSDAQ,1
412,008420,KOSPI,1
413,008470,KOSDAQ,1
414,008490,KOSPI,1
415,008500,KOSPI,1
416,008560,KOSPI,1
417,008600,KOSPI,1
418,008700,KOSPI,1
419,008730,KOSPI,1
420,008770,KOSPI,1
421,008775,KOSPI,1
422,008830,KOSDAQ,1
423,008870,KOSPI,1
424,008930,KOSPI,1
425,008970,KOSPI,1
426,009070,KOSPI,1
427,009140,KOSPI,1
428,009150,KOSPI,1
429,009155,KOSPI,1
430,009160,KOSPI,1
431,009180,KOSPI,1
432,009190,KOSPI,1
433,009200,KOSPI,1
434,009240,KOSPI,1
435,009270,KOSPI,1
436,009275,KOSPI,1
437,009290,KOSPI,1
438,009300,KOSDAQ,1
439,009310,KOSPI,1
440,009320,KOSPI,1
441,009410,KOSPI,1
442,009415,KOSPI,1
443,009420,KOSPI,1
444,009440,KOSPI,1
445,009450,KOSPI,1
446,009460,KOSPI,1
447,009470,KOSPI,1
448,009520,KOSDAQ,1
449,009540,KOSPI,1
450,009580,KOSPI,1
451,009620,KOSDAQ,1
452,009680,KOSPI,1
453,009730,KOSDAQ,1
454,009770,KOSPI,1
455,009780,KOSDAQ,1
